Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
6,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,16/08/2017,8,2017,08-2017,03-2017,invierno,15,0,6.45,07.02,23,,,,,110000,20000,8200,,12.85,3.8,0,0,88,28,45,829,,,,,,0,
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,16/08/2017,8,2017,08-2017,03-2017,invierno,15.2,0,7.1,6.8,9,,,,,58000,6000,4600,,5.76,3.3,0,0,28,17,1,353,,,,,,0,
103,Berisso - La Balandra,Berisso,BS093,27/08/2014,8,2014,08-2014,03-2014,invierno,4.00,9.00,9.66,7.82,0,,,,,210,900,400,,9,3.2,0,0,32,,0,,,,,,,0,
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,6.33,7.27,5.6,,,,,140000,6400,4300,,2.97,3.11,0,1.46,17,12,3,272,217,0.006,0.002,0,,0,
52,MIRADOR TOMA DE AGUA,CABA,CA044,13/11/2013,11,2013,11-2013,04-2013,primavera,0,23.9,5.72,7.27,0,,,,,60000,3800,3000,,5,3.1,0,0,87,,0,,,,,,,0,
248,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,6,2100,44928,,2215,3.1,0,0,21,,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,03/08/2017,8,2017,08-2017,03-2017,verano,0,0,4.44,7.94,0,,,,,88000,33000,8500,,8.86,3.1,0,0,35,10,0,,,,,,,0,
35,ARROYO DEL GATO,Ensenada,EN083,19/02/2020,2,2020,02-2020,01-2020,verano,24,18,1,7,18,ausencia,presencia,ausencia,presencia,0,0,16800,,1,3,0,0,0,12,0,,50,0.006,0.002,0,26,32,Extremadamente deteriorada
4,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,4/11/2020,11,2020,11-2020,04-2020,primavera,22,18,2,7,80,ausencia,ausencia,ausencia,ausencia,0,0,3100,,1,3,0,1,0,14,0,,65,0.006,0.002,0,11,46,Muy deteriorada
26,ARROYO SANTO DOMINGO,Avellaneda,AV053,27/10/2021,10,2021,10-2021,04-2021,primavera,26,29,1,7,10,ausencia,ausencia,ausencia,ausencia,100000,0,50000,2100,2,3,0,1,43,14,1,,100,0.005,0.001,0.2,4331,34,Extremadamente deteriorada
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,27/10/2021,10,2021,10-2021,04-2021,primavera,25,29,2,7,19,presencia,presencia,ausencia,presencia,4000,0,1000,1350,2,3,0,0,43,6,0,,100,0.005,0.001,0.2,3026,34,Extremadamente deteriorada
26,ARROYO SANTO DOMINGO,Avellaneda,AV053,25/08/2021,8,2021,08-2021,03-2021,invierno,15,13,6,7,21,ausencia,ausencia,ausencia,ausencia,400,0,200,27,2,3,0,1,31,7,1,,100,0.005,0.001,0.2,0,59,Muy deteriorada
